Username,User ID,Skill Rating,Title
Patatitta,16294034,3080,Expert
arxwaa,13916330,3079,Expert
Nosuri,2150415,3063,Expert
Demon-kira,20232838,3061,Expert
Komekko,1847850,3058,Expert
Divine Cake,3636998,3057,Expert
Nhelv,2417394,3056,Expert
Yamasako,8154659,3054,Expert
Sekk_,11973153,3051,Expert
Horuhe,4618171,3050,Expert
HyakkiSama,5375171,3049,Expert
Zangoose,10454575,3049,Expert
Sypro2000,3622412,3047,Expert
jaimeywea,8299277,3046,Expert
-Takato-,10755079,3045,Expert
alextheman2017,10193706,3043,Expert
Rimura-sama,4890687,3040,Expert
PM____,1049467,3038,Expert
floflim,5954015,3037,Expert
Oktavia,1952803,3036,Expert
Mihawk,2933135,3035,Expert
Copano_Lucky,26377086,3032,Expert
[224]Miriai-,13610668,3031,Expert
Emiru,3306180,3030,Expert
Shadowbolts1,13962882,3030,Expert
Byjumbur,16568987,3030,Expert
Phosphores,2904705,3030,Expert
Olib,4044289,3029,Expert
Arctaroll,15074740,3029,Expert
keikonakuru,1465947,3028,Expert
Moeruattack,4480237,3028,Expert
Trollingor,4144266,3028,Expert
TaiDex,3880845,3025,Expert
Sanyi,7496029,3024,Expert
zove,6403823,3021,Special
BPDelirious,3320300,3017,Expert
detteiuu,11619349,3017,Expert
Roxy Migurdia,2241910,3016,Expert
SimplyHai,9784522,3013,Expert
Anthonyvfxfx,11548062,3013,Expert
Ekseff,13966422,3012,Expert
Bastian,6345176,3012,Expert
Keine,2349880,3011,Expert
Chrisuly,12203613,3011,Expert
Torchic,1839650,3010,Expert
Teru,3908087,3009,Expert
-byakuya-,3356580,3007,Expert
Vikki,33305106,3005,Expert
David Podsiadlo,34040054,3003,Expert
RaptusRites,15489757,3001,Expert
Fl4ndre Scarlet,4146243,3000,Expert
Char0n,17838855,2999,Advanced
HyPerNekoChan,9626549,2998,Advanced
S h i g u r e,4372552,2997,Advanced
DaLamb_,7642326,2996,Advanced
Gnozza79,6438262,2995,Advanced
[- Kroken -],16268256,2994,Advanced
Dawt,2747704,2994,Advanced
saaayo,9482697,2994,Advanced
Snow-s-m,3673417,2991,Advanced
GinIkari,6083491,2991,Advanced
Hotaru,4607073,2990,Advanced
Fie,14489248,2988,Advanced
kokomi on osu,12382410,2987,Advanced
AFK-,8177073,2987,Advanced
Cera-,1974131,2984,Advanced
Ambition-,6960376,2984,Advanced
Nizlish,9489602,2979,Advanced
Headpat,9402159,2979,Advanced
T o u k o,723623,2977,Advanced
S h y n e,5219553,2976,Advanced
-Salads-,14095299,2976,Advanced
Geniance,4229240,2975,Advanced
ExCell3nT,5013425,2973,Advanced
TomyLeFaux,9504653,2973,Advanced
TW_Misc,1616974,2972,Advanced
Paralysis,6811767,2970,Advanced
Del,2996241,2961,Advanced
SkyBlazed,8710703,2959,Advanced
Flippy88,6423123,2958,Advanced
Valdarog,14549465,2954,Advanced
Mwallx,4319655,2954,Advanced
Jervis,1691809,2953,Advanced
Arespro,2573707,2953,Advanced
Wehus,4405764,2949,Advanced
Digitalfear117,6715645,2948,Advanced
Valskiel,1254639,2948,Advanced
Zakrusta,5034270,2948,Advanced
gold801,3006672,2948,Advanced
Sololiquy,4350087,2947,Advanced
nam2007vn,22329458,2946,Advanced
Blytox,6583340,2944,Advanced
jongwon12,2697988,2943,Advanced
-Kurx,3204086,2941,Advanced
Rizki,4949021,2941,Advanced
i suck at ctb,9677924,2941,Advanced
EBAWER-,4115635,2941,Advanced
Latina-,15015592,2941,Advanced
Miharu,1985428,2938,Advanced
Guille,8687353,2938,Advanced
Sakaii,7720945,2937,Advanced
UY Scuti,3784334,2935,Advanced
-[Shadow-Evil]-,7689992,2934,Advanced
Disco783,6368527,2934,Advanced
Zyzyx,2888013,2934,Advanced
Xeltusha,25574167,2933,Advanced
YesMyArab,24327100,2933,Advanced
Ari Light,4383265,2932,Advanced
[225]Zeus,8329151,2932,Advanced
Anne Hiddengo,8422828,2931,Advanced
NekoMiMi,643160,2929,Advanced
Imaya,12735053,2928,Advanced
Nerris,11202866,2928,Advanced
timezzzz,23006180,2928,Advanced
Kitsuka,10334943,2927,Advanced
Toaph Daddy,7616811,2926,Advanced
Hanabira-,3122557,2925,Advanced
Minalinsky-,2823883,2924,Advanced
Baron,10286499,2924,Advanced
Blushing,5927823,2923,Advanced
MysticalTeaPot,25198181,2922,Advanced
EquitaS,8062855,2920,Advanced
Blurred955,6237768,2920,Advanced
Shizuku,8623922,2920,Advanced
Simon4158,524489,2919,Advanced
Furdek,8146190,2919,Advanced
CTB WhiteCat,23381622,2919,Advanced
awzxec,29405408,2918,Advanced
RomanianAlex,10419790,2918,Advanced
sekirei,1643335,2916,Advanced
[Paw]FIood,6336721,2916,Advanced
Hanabioni,19391812,2913,Advanced
dark rainbow,10557830,2913,Advanced
-NGNL-,19611177,2912,Advanced
SeriOni -,8477520,2909,Advanced
Starwide,9926856,2908,Advanced
Cakenoob,6045522,2908,Advanced
Mamat,3031177,2907,Advanced
[Eun],3788536,2907,Advanced
Hipnotic,4169930,2905,Advanced
lord98kjp,3619875,2904,Advanced
Pettson,12249595,2903,Advanced
Ruiz,10095644,2903,Advanced
MooN4000,5308080,2902,Advanced
1794766,1794766,2901,Advanced
mirofantasm,6650048,2901,Advanced
Nendus,22005940,2900,Advanced
MiMiichann,11913197,2900,Advanced
log out side,11535744,2899,Advanced
Not_Peni,20085430,2896,Advanced
[ GrandPa ],2344040,2896,Advanced
zidaneaaron,12708243,2895,Advanced
Saenai,8922468,2894,Advanced
Voltaeyx,2715118,2892,Advanced
ERA Punish,10615367,2891,Advanced
Tourb0,19471527,2891,Advanced
Nagato,260373,2888,Advanced
wonjae,5032045,2885,Advanced
Adagaki-sama,4028740,2885,Advanced
Buffow,4427038,2884,Advanced
AmaZ,6097002,2883,Advanced
Minato Yukina,4133477,2883,Advanced
Supuritto,7740655,2882,Advanced
Seira-Nanamori,3407743,2882,Advanced
Touhou Fanboy,6739378,2882,Advanced
Upbeat,10702118,2881,Advanced
Sharino,2022158,2880,Advanced
SK Eternal,588046,2880,Advanced
AizW,6672736,2876,Advanced
Risako,5253610,2874,Advanced
GZone,10696269,2874,Advanced
NovemberX,19781424,2873,Advanced
Ventilador,2312572,2871,Advanced
yukinasimp,10937890,2869,Advanced
SethRGS,9901244,2869,Advanced
Artenius,8224668,2868,Advanced
ElPolloOficial,8353249,2867,Advanced
N2Oe-,8837858,2867,Advanced
Yostel,3594510,2866,Advanced
MasterForcer,3263646,2866,Advanced
Marfolog,5102624,2866,Advanced
wangwangg,6416920,2865,Advanced
CrashTheButton,9567794,2864,Advanced
JAOJAO,13240976,2863,Advanced
maxqw123,3035276,2863,Advanced
Eps,6511370,2863,Advanced
kusakabe001,129806,2863,Advanced
SkrillHaX,7293491,2862,Advanced
Blackcurrant,1127729,2860,Advanced
Jemzuu,7890134,2858,Advanced
MrGoose,6283052,2858,Advanced
ZYX_GAME,3770612,2858,Advanced
Ruu,3212755,2856,Advanced
Nezsk,18882652,2856,Advanced
SnowbaII,13104075,2855,Advanced
Dask,4151397,2855,Advanced
[RUE]Ludboy,5051425,2854,Advanced
Nazrin on osu,2512267,2853,Advanced
EEEHHH,2353850,2852,Advanced
Suikami,1929336,2852,Advanced
[MG] Replinter,25690654,2852,Advanced
MicroRocket,7732574,2851,Advanced
Wishs,4013465,2850,Advanced
Tomari Mari,3538446,2849,Advanced
tacokatze,1555865,2849,Advanced
Geniancefangirl,7320075,2849,Advanced
Uygrzybrzywszy,4446007,2849,Advanced
Rabbie,14796012,2848,Advanced
